Clock_Round,Service_Area,Band,Bidder,bid_decision,No. of Block(s) Selected,prov_win_bid,Provisionally Allocated Block(s) at end of Clock Round,prov_rank
1,Andhra Pradesh,26,Bharti Airtel Limited,No,0,0,0,0
1,Andhra Pradesh,26,"Reliance JioInfocomm Limited",No,0,0,0,0
1,Andhra Pradesh,26,"Vodafone IdeaLimited",No,0,0,0,0
1,Andhra Pradesh,800,Bharti Airtel Limited,No,0,0,0,0
1,Andhra Pradesh,800,"Reliance JioInfocomm Limited",No,0,0,0,0
1,Andhra Pradesh,800,"Vodafone IdeaLimited",No,0,0,0,0
1,Andhra Pradesh,900,Bharti Airtel Limited,No,0,57.6,0,0
1,Andhra Pradesh,900,"Reliance JioInfocomm Limited",No,0,57.6,0,0
1,Andhra Pradesh,900,"Vodafone IdeaLimited",Bid,11,57.6,11,1
1,Andhra Pradesh,1800,Bharti Airtel Limited,No,0,0,0,0
1,Andhra Pradesh,1800,"Reliance JioInfocomm Limited",No,0,0,0,0
1,Andhra Pradesh,1800,"Vodafone IdeaLimited",No,0,0,0,0
1,Andhra Pradesh,2100,Bharti Airtel Limited,No,0,0,0,0
1,Andhra Pradesh,2100,"Reliance JioInfocomm Limited",No,0,0,0,0
1,Andhra Pradesh,2100,"Vodafone IdeaLimited",No,0,0,0,0
1,Andhra Pradesh,2300,Bharti Airtel Limited,No,0,0,0,0
1,Andhra Pradesh,2300,"Reliance JioInfocomm Limited",No,0,0,0,0
1,Andhra Pradesh,2300,"Vodafone IdeaLimited",No,0,0,0,0
1,Andhra Pradesh,3300,Bharti Airtel Limited,No,0,0,0,0
1,Andhra Pradesh,3300,"Reliance JioInfocomm Limited",No,0,0,0,0
1,Andhra Pradesh,3300,"Vodafone IdeaLimited",No,0,0,0,0
1,Assam,26,Bharti Airtel Limited,No,0,0,0,0
1,Assam,26,"Reliance JioInfocomm Limited",No,0,0,0,0
1,Assam,26,"Vodafone IdeaLimited",No,0,0,0,0
1,Assam,900,Bharti Airtel Limited,Bid,25,12.6,25,1
1,Assam,900,"Reliance JioInfocomm Limited",No,0,12.6,0,0
1,Assam,900,"Vodafone IdeaLimited",No,0,12.6,0,0
1,Assam,1800,Bharti Airtel Limited,Bid,20,6.4,20,1
1,Assam,1800,"Reliance JioInfocomm Limited",No,0,6.4,0,0
1,Assam,1800,"Vodafone IdeaLimited",No,0,6.4,0,0
1,Assam,2100,Bharti Airtel Limited,Bid,1,120,1,1
1,Assam,2100,"Reliance JioInfocomm Limited",No,0,120,0,0
1,Assam,2100,"Vodafone IdeaLimited",No,0,120,0,0
1,Assam,3300,Bharti Airtel Limited,No,0,0,0,0
1,Assam,3300,"Reliance JioInfocomm Limited",No,0,0,0,0
1,Assam,3300,"Vodafone IdeaLimited",No,0,0,0,0
1,Bihar,26,Bharti Airtel Limited,No,0,0,0,0
1,Bihar,26,"Reliance JioInfocomm Limited",No,0,0,0,0
1,Bihar,26,"Vodafone IdeaLimited",No,0,0,0,0
1,Bihar,800,Bharti Airtel Limited,No,0,0,0,0
1,Bihar,800,"Reliance JioInfocomm Limited",No,0,0,0,0
1,Bihar,800,"Vodafone IdeaLimited",No,0,0,0,0
1,Bihar,900,Bharti Airtel Limited,Bid,25,29.4,25,1
1,Bihar,900,"Reliance JioInfocomm Limited",No,0,29.4,0,0
1,Bihar,900,"Vodafone IdeaLimited",No,0,29.4,0,0
1,Bihar,1800,Bharti Airtel Limited,Bid,25,16.4,1,2
1,Bihar,1800,"Reliance JioInfocomm Limited",Bid,50,16.4,50,1
1,Bihar,1800,"Vodafone IdeaLimited",No,0,16.4,0,0
1,Bihar,2500,Bharti Airtel Limited,No,0,150,0,0
1,Bihar,2500,"Reliance JioInfocomm Limited",No,0,150,0,0
1,Bihar,2500,"Vodafone IdeaLimited",Bid,1,150,1,1
1,Bihar,3300,Bharti Airtel Limited,No,0,0,0,0
1,Bihar,3300,"Reliance JioInfocomm Limited",No,0,0,0,0
1,Bihar,3300,"Vodafone IdeaLimited",No,0,0,0,0
1,Delhi,26,Bharti Airtel Limited,No,0,0,0,0
1,Delhi,26,"Reliance JioInfocomm Limited",No,0,0,0,0
1,Delhi,26,"Vodafone IdeaLimited",No,0,0,0,0
1,Delhi,800,Bharti Airtel Limited,No,0,0,0,0
1,Delhi,800,"Reliance JioInfocomm Limited",No,0,0,0,0
1,Delhi,800,"Vodafone IdeaLimited",No,0,0,0,0
1,Delhi,900,Bharti Airtel Limited,No,0,0,0,0
1,Delhi,900,"Reliance JioInfocomm Limited",No,0,0,0,0
1,Delhi,900,"Vodafone IdeaLimited",No,0,0,0,0
1,Delhi,1800,Bharti Airtel Limited,No,0,0,0,0
1,Delhi,1800,"Reliance JioInfocomm Limited",No,0,0,0,0
1,Delhi,1800,"Vodafone IdeaLimited",No,0,0,0,0
1,Delhi,2100,Bharti Airtel Limited,No,0,0,0,0
1,Delhi,2100,"Reliance JioInfocomm Limited",No,0,0,0,0
1,Delhi,2100,"Vodafone IdeaLimited",No,0,0,0,0
1,Delhi,2300,Bharti Airtel Limited,No,0,0,0,0
1,Delhi,2300,"Reliance JioInfocomm Limited",No,0,0,0,0
1,Delhi,2300,"Vodafone IdeaLimited",No,0,0,0,0
1,Delhi,3300,Bharti Airtel Limited,No,0,0,0,0
1,Delhi,3300,"Reliance JioInfocomm Limited",No,0,0,0,0
1,Delhi,3300,"Vodafone IdeaLimited",No,0,0,0,0
1,Gujarat,26,Bharti Airtel Limited,No,0,0,0,0
1,Gujarat,26,"Reliance JioInfocomm Limited",No,0,0,0,0
1,Gujarat,26,"Vodafone IdeaLimited",No,0,0,0,0
1,Gujarat,800,Bharti Airtel Limited,No,0,0,0,0
1,Gujarat,800,"Reliance JioInfocomm Limited",No,0,0,0,0
1,Gujarat,800,"Vodafone IdeaLimited",No,0,0,0,0
1,Gujarat,900,Bharti Airtel Limited,No,0,0,0,0
1,Gujarat,900,"Reliance JioInfocomm Limited",No,0,0,0,0
1,Gujarat,900,"Vodafone IdeaLimited",No,0,0,0,0
1,Gujarat,1800,Bharti Airtel Limited,No,0,0,0,0
1,Gujarat,1800,"Reliance JioInfocomm Limited",No,0,0,0,0
1,Gujarat,1800,"Vodafone IdeaLimited",No,0,0,0,0
1,Gujarat,2100,Bharti Airtel Limited,No,0,0,0,0
1,Gujarat,2100,"Reliance JioInfocomm Limited",No,0,0,0,0
1,Gujarat,2100,"Vodafone IdeaLimited",No,0,0,0,0
1,Gujarat,3300,Bharti Airtel Limited,No,0,0,0,0
