,TSP,LSA,bw,acquired_year,band,years_left
631,Jio,Madhya Pradesh,10,2022,1800,18
632,Jio,Madhya Pradesh,130,2022,3300,18
633,Jio,Maharashtra,1000,2022,26,18
634,Jio,Maharashtra,10,2022,700,18
635,Jio,Maharashtra,10,2022,1800,18
636,Jio,Maharashtra,100,2022,3300,18
637,Jio,Mumbai,1000,2022,26,18
638,Jio,Mumbai,10,2022,700,18
639,Jio,Mumbai,100,2022,3300,18
640,Jio,North East,1000,2022,26,18
641,Jio,North East,10,2022,700,18
642,Jio,North East,5,2022,800,18
643,Jio,North East,130,2022,3300,18
644,Jio,Orissa,1000,2022,26,18
645,Jio,Orissa,10,2022,700,18
646,Jio,Orissa,10,2022,1800,18
647,Jio,Orissa,100,2022,3300,18
648,Jio,Punjab,1000,2022,26,18
649,Jio,Punjab,10,2022,700,18
650,Jio,Punjab,100,2022,3300,18
651,Jio,Rajasthan,1000,2022,26,18
652,Jio,Rajasthan,10,2022,700,18
653,Jio,Rajasthan,10,2022,1800,18
654,Jio,Rajasthan,130,2022,3300,18
655,Jio,Tamil Nadu,1000,2022,26,18
656,Jio,Tamil Nadu,10,2022,700,18
657,Jio,Tamil Nadu,100,2022,3300,18
658,Jio,Uttar Pradesh (East),1000,2022,26,18
659,Jio,Uttar Pradesh (East),10,2022,700,18
660,Jio,Uttar Pradesh (East),10,2022,1800,18
661,Jio,Uttar Pradesh (East),100,2022,3300,18
662,Jio,Uttar Pradesh (West),1000,2022,26,18
663,Jio,Uttar Pradesh (West),10,2022,700,18
664,Jio,Uttar Pradesh (West),5,2022,800,18
665,Jio,Uttar Pradesh (West),130,2022,3300,18
666,Jio,West Bengal,1000,2022,26,18
667,Jio,West Bengal,10,2022,700,18
668,Jio,West Bengal,100,2022,3300,18
669,Vodafone,Andhra Pradesh,200,2022,26,18
670,Vodafone,Andhra Pradesh,3.4,2022,1800,18
671,Vodafone,Andhra Pradesh,10,2022,2500,18
672,Vodafone,Andhra Pradesh,50,2022,3300,18
673,Vodafone,Bihar,50,2022,3300,18
674,Vodafone,Delhi,200,2022,26,18
675,Vodafone,Delhi,50,2022,3300,18
676,Vodafone,Gujarat,450,2022,26,18
677,Vodafone,Gujarat,50,2022,3300,18
678,Vodafone,Haryana,400,2022,26,18
679,Vodafone,Haryana,50,2022,3300,18
680,Vodafone,Karnataka,200,2022,26,18
681,Vodafone,Karnataka,5,2022,2100,18
682,Vodafone,Karnataka,50,2022,3300,18
683,Vodafone,Kerala,800,2022,26,18
684,Vodafone,Kerala,50,2022,3300,18
685,Vodafone,Kolkata,200,2022,26,18
686,Vodafone,Kolkata,50,2022,3300,18
687,Vodafone,Madhya Pradesh,400,2022,26,18
688,Vodafone,Madhya Pradesh,50,2022,3300,18
689,Vodafone,Maharashtra,400,2022,26,18
690,Vodafone,Maharashtra,50,2022,3300,18
691,Vodafone,Mumbai,200,2022,26,18
692,Vodafone,Mumbai,50,2022,3300,18
693,Vodafone,Punjab,300,2022,26,18
694,Vodafone,Punjab,10,2022,2500,18
695,Vodafone,Punjab,50,2022,3300,18
696,Vodafone,Rajasthan,300,2022,26,18
697,Vodafone,Rajasthan,50,2022,3300,18
698,Vodafone,Tamil Nadu,300,2022,26,18
699,Vodafone,Tamil Nadu,50,2022,3300,18
700,Vodafone,Uttar Pradesh (East),250,2022,26,18
701,Vodafone,Uttar Pradesh (East),50,2022,3300,18
702,Vodafone,Uttar Pradesh (West),350,2022,26,18
703,Vodafone,Uttar Pradesh (West),50,2022,3300,18
704,Vodafone,West Bengal,400,2022,26,18
705,Vodafone,West Bengal,50,2022,3300,18
706,Bharti,Assam,5,2024,900,20
707,Bharti,Assam,4,2024,1800,20
708,Bharti,Assam,5,2024,2100,20
709,Bharti,Bihar,7,2024,900,20
710,Bharti,Bihar,5.2,2024,1800,20
711,Bharti,Haryana,5,2024,1800,20
712,Bharti,Jammu & Kashmir,10,2024,900,20
713,Bharti,Jammu & Kashmir,5,2024,2100,20
714,Bharti,Kolkata,5,2024,1800,20
715,Bharti,North East,1,2024,900,20
716,Bharti,North East,5,2024,2100,20
717,Bharti,Orissa,5,2024,900,20
718,Bharti,Orissa,1,2024,1800,20
719,Bharti,Punjab,5,2024,1800,20
720,Bharti,Rajasthan,4,2024,900,20
721,Bharti,Rajasthan,5,2024,1800,20
722,Bharti,Uttar Pradesh (East),5,2024,900,20
723,Bharti,Uttar Pradesh (East),1,2024,1800,20
724,Bharti,Uttar Pradesh (West),5,2024,2100,20
725,Bharti,West Bengal,5,2024,900,20
726,Bharti,West Bengal,3.8,2024,1800,20
727,Jio,Bihar,5,2024,1800,20
728,Jio,West Bengal,9.4,2024,1800,20
729,Vodafone,Andhra Pradesh,2.4,2024,900,20
730,Vodafone,Bihar,10,2024,2500,20
731,Vodafone,Karnataka,2.2,2024,900,20
732,Vodafone,Kolkata,0.2,2024,900,20
733,Vodafone,Madhya Pradesh,1.2,2024,1800,20
734,Vodafone,Punjab,1.2,2024,900,20
735,Vodafone,Rajasthan,0.4,2024,900,20
736,Vodafone,Tamil Nadu,2.4,2024,900,20
737,Vodafone,Uttar Pradesh (East),1.2,2024,900,20
738,Vodafone,Uttar Pradesh (West),5,2024,900,20
739,Vodafone,West Bengal,3.8,2024,900,20
