Clock_Round,Service_Area,Band,Bidder,bid_decision,No. of Block(s) Selected,prov_win_bid,Provisionally Allocated Block(s) at end of Clock Round,prov_rank
1,Haryana,1800,Tata Tele,Not Bid,0,-,-,-
1,Haryana,1800,Telewings,Not Bid,0,-,-,-
1,Haryana,1800,Vodafone,Not Bid,0,-,-,-
1,Himachal Pradesh,1800,Aircel,Not Bid,0,-,-,-
1,Himachal Pradesh,1800,Bharti,Bid,51,1.2,51,1
1,Himachal Pradesh,1800,Idea,Not Bid,0,-,-,-
1,Himachal Pradesh,1800,RCL,Not Bid,0,-,-,-
1,Himachal Pradesh,1800,Jio,Not Bid,0,-,-,-
1,Himachal Pradesh,1800,Tata Tele,Not Bid,0,-,-,-
1,Himachal Pradesh,1800,Telewings,Not Bid,0,-,-,-
1,Himachal Pradesh,1800,Vodafone,Not Bid,0,-,-,-
1,Jammu & Kashmir,1800,Aircel,Bid,9,1,0,-
1,Jammu & Kashmir,1800,Bharti,Bid,22,1,22,1
1,Jammu & Kashmir,1800,Idea,Not Bid,0,-,-,-
1,Jammu & Kashmir,1800,RCL,Not Bid,0,-,-,-
1,Jammu & Kashmir,1800,Jio,Not Bid,0,-,-,-
1,Jammu & Kashmir,1800,Tata Tele,Not Bid,0,-,-,-
1,Jammu & Kashmir,1800,Telewings,Not Bid,0,-,-,-
1,Jammu & Kashmir,1800,Vodafone,Not Bid,0,-,-,-
1,Karnataka,1800,Aircel,Not Bid,0,-,-,-
1,Karnataka,1800,Bharti,Bid,38,31,38,1
1,Karnataka,1800,Idea,Bid,25,31,25,4
1,Karnataka,1800,RCL,Not Bid,0,-,-,-
1,Karnataka,1800,Jio,Bid,25,31,25,3
1,Karnataka,1800,Tata Tele,Not Bid,0,-,-,-
1,Karnataka,1800,Telewings,Not Bid,0,-,-,-
1,Karnataka,1800,Vodafone,Bid,25,31,25,2
1,Kerala,1800,Aircel,Not Bid,0,-,-,-
1,Kerala,1800,Bharti,Bid,25,10.4,25,2
1,Kerala,1800,Idea,Bid,25,10.4,25,4
1,Kerala,1800,RCL,Not Bid,0,-,-,-
1,Kerala,1800,Jio,Bid,25,10.4,25,3
1,Kerala,1800,Tata Tele,Not Bid,0,-,-,-
1,Kerala,1800,Telewings,Not Bid,0,-,-,-
1,Kerala,1800,Vodafone,Bid,28,10.4,28,1
1,Kolkata,1800,Aircel,Not Bid,0,-,-,-
1,Kolkata,1800,Bharti,Bid,25,14.6,25,2
1,Kolkata,1800,Idea,Not Bid,0,-,-,-
1,Kolkata,1800,RCL,Not Bid,0,-,-,-
1,Kolkata,1800,Jio,Bid,25,14.6,25,3
1,Kolkata,1800,Tata Tele,Not Bid,0,-,-,-
1,Kolkata,1800,Telewings,Not Bid,0,-,-,-
1,Kolkata,1800,Vodafone,Bid,35,14.6,35,1
1,Madhya Pradesh,1800,Aircel,Not Bid,0,-,-,-
1,Madhya Pradesh,1800,Bharti,Bid,3,8.6,3,3
1,Madhya Pradesh,1800,Idea,Bid,25,8.6,25,2
1,Madhya Pradesh,1800,RCL,Not Bid,0,-,-,-
1,Madhya Pradesh,1800,Jio,Bid,25,8.6,25,1
1,Madhya Pradesh,1800,Tata Tele,Not Bid,0,-,-,-
1,Madhya Pradesh,1800,Telewings,Not Bid,0,-,-,-
1,Madhya Pradesh,1800,Vodafone,Not Bid,0,-,-,-
1,Maharashtra,1800,Aircel,Not Bid,0,-,-,-
1,Maharashtra,1800,Bharti,Bid,25,34.6,25,1
1,Maharashtra,1800,Idea,Bid,3,34.6,3,5
1,Maharashtra,1800,RCL,Not Bid,0,-,-,-
1,Maharashtra,1800,Jio,Bid,25,34.6,25,2
1,Maharashtra,1800,Tata Tele,Not Bid,0,-,-,-
1,Maharashtra,1800,Telewings,Bid,9,34.6,9,3
1,Maharashtra,1800,Vodafone,Bid,3,34.6,3,4
1,Mumbai,1800,Aircel,Not Bid,0,-,-,-
1,Mumbai,1800,Bharti,Bid,4,41.4,4,4
1,Mumbai,1800,Idea,Bid,5,41.4,5,3
1,Mumbai,1800,RCL,Bid,3,41.4,3,5
1,Mumbai,1800,Jio,Bid,25,41.4,25,2
1,Mumbai,1800,Tata Tele,Not Bid,0,-,-,-
1,Mumbai,1800,Telewings,Not Bid,0,-,-,-
1,Mumbai,1800,Vodafone,Bid,50,41.4,50,1
1,North East,1800,Aircel,Bid,9,1.4,9,3
1,North East,1800,Bharti,Bid,35,1.4,35,1
1,North East,1800,Idea,Bid,3,1.4,3,4
1,North East,1800,RCL,Not Bid,0,-,-,-
1,North East,1800,Jio,Bid,25,1.4,25,2
1,North East,1800,Tata Tele,Not Bid,0,-,-,-
1,North East,1800,Telewings,Not Bid,0,-,-,-
1,North East,1800,Vodafone,Not Bid,0,-,-,-
1,Orissa,1800,Aircel,Not Bid,0,-,-,-
1,Orissa,1800,Bharti,Bid,25,3.2,25,1
1,Orissa,1800,Idea,Not Bid,0,-,-,-
1,Orissa,1800,RCL,Not Bid,0,-,-,-
1,Orissa,1800,Jio,Bid,25,3.2,25,2
1,Orissa,1800,Tata Tele,Not Bid,0,-,-,-
1,Orissa,1800,Telewings,Not Bid,0,-,-,-
1,Orissa,1800,Vodafone,Not Bid,0,-,-,-
1,Punjab,1800,Aircel,Not Bid,0,-,-,-
1,Punjab,1800,Bharti,Bid,36,10.8,36,1
1,Punjab,1800,Idea,Bid,25,10.8,25,2
1,Punjab,1800,RCL,Not Bid,0,-,-,-
1,Punjab,1800,Jio,Not Bid,0,-,-,-
1,Punjab,1800,Tata Tele,Not Bid,0,-,-,-
1,Punjab,1800,Telewings,Not Bid,0,-,-,-
1,Punjab,1800,Vodafone,Bid,3,10.8,3,3
1,Rajasthan,1800,Aircel,Bid,8,5.2,8,2
1,Rajasthan,1800,Bharti,Bid,40,5.2,40,1
1,Rajasthan,1800,Idea,Not Bid,0,-,-,-
1,Rajasthan,1800,RCL,Not Bid,0,-,-,-
1,Rajasthan,1800,Jio,Not Bid,0,-,-,-
1,Rajasthan,1800,Tata Tele,Not Bid,0,-,-,-
1,Rajasthan,1800,Telewings,Not Bid,0,-,-,-
1,Rajasthan,1800,Vodafone,Bid,4,5.2,4,3
1,Tamil Nadu,1800,Aircel,Not Bid,0,-,-,-
1,Tamil Nadu,1800,Bharti,Bid,25,41.6,25,1
1,Tamil Nadu,1800,Idea,Not Bid,0,-,-,-
1,Tamil Nadu,1800,RCL,Not Bid,0,-,-,-
1,Tamil Nadu,1800,Jio,Bid,25,41.6,25,2
1,Tamil Nadu,1800,Tata Tele,Not Bid,0,-,-,-
1,Tamil Nadu,1800,Telewings,Not Bid,0,-,-,-
1,Tamil Nadu,1800,Vodafone,Not Bid,0,-,-,-
1,Uttar Pradesh (East),1800,Aircel,Bid,9,12.2,0,-
1,Uttar Pradesh (East),1800,Bharti,Bid,22,12.2,22,1
1,Uttar Pradesh (East),1800,Idea,Not Bid,0,-,-,-
1,Uttar Pradesh (East),1800,RCL,Not Bid,0,-,-,-
1,Uttar Pradesh (East),1800,Jio,Not Bid,0,-,-,-
1,Uttar Pradesh (East),1800,Tata Tele,Not Bid,0,-,-,-
1,Uttar Pradesh (East),1800,Telewings,Bid,9,12.2,5,3
1,Uttar Pradesh (East),1800,Vodafone,Bid,13,12.2,13,2
1,Uttar Pradesh (West),1800,Aircel,Not Bid,0,-,-,-
1,Uttar Pradesh (West),1800,Bharti,Bid,12,12.4,12,1
1,Uttar Pradesh (West),1800,Idea,Bid,4,12.4,0,-
1,Uttar Pradesh (West),1800,RCL,Not Bid,0,-,-,-
1,Uttar Pradesh (West),1800,Jio,Not Bid,0,-,-,-
1,Uttar Pradesh (West),1800,Tata Tele,Not Bid,0,-,-,-
1,Uttar Pradesh (West),1800,Telewings,Bid,10,12.4,0,-
1,Uttar Pradesh (West),1800,Vodafone,Not Bid,0,-,-,-
1,West Bengal,1800,Aircel,Bid,9,4.2,6,3
1,West Bengal,1800,Bharti,Bid,25,4.2,25,1
1,West Bengal,1800,Idea,Not Bid,0,-,-,-
1,West Bengal,1800,RCL,Not Bid,0,-,-,-
1,West Bengal,1800,Jio,Bid,25,4.2,25,2
1,West Bengal,1800,Tata Tele,Not Bid,0,-,-,-
1,West Bengal,1800,Telewings,Not Bid,0,-,-,-
1,West Bengal,1800,Vodafone,Not Bid,0,-,-,-
1,Delhi,900,Aircel,Not Bid,0,-,-,-
1,Delhi,900,Bharti,Bid,5,360,0,-
1,Delhi,900,Idea,Bid,7,360,7,1
1,Delhi,900,RCL,Not Bid,0,-,-,-
1,Delhi,900,Jio,Bid,5,360,0,-
1,Delhi,900,Tata Tele,Not Bid,0,-,-,-
1,Delhi,900,Telewings,Not Bid,0,-,-,-
1,Delhi,900,Vodafone,Bid,6,360,6,2
1,Kolkata,900,Aircel,Not Bid,0,-,-,-
1,Kolkata,900,Bharti,Bid,5,125,0,-
1,Kolkata,900,Idea,Bid,6,125,6,2
1,Kolkata,900,RCL,Not Bid,0,-,-,-
1,Kolkata,900,Jio,Not Bid,0,-,-,-
1,Kolkata,900,Tata Tele,Bid,5,125,0,-
1,Kolkata,900,Telewings,Not Bid,0,-,-,-
1,Kolkata,900,Vodafone,Bid,8,125,8,1
1,Mumbai,900,Aircel,Not Bid,0,-,-,-
1,Mumbai,900,Bharti,Bid,5,328,0,-
1,Mumbai,900,Idea,Bid,6,328,6,2
1,Mumbai,900,RCL,Not Bid,0,-,-,-
1,Mumbai,900,Jio,Bid,5,328,0,-
1,Mumbai,900,Tata Tele,Bid,5,328,0,-
1,Mumbai,900,Telewings,Not Bid,0,-,-,-
1,Mumbai,900,Vodafone,Bid,6,328,6,1
2,Andhra Pradesh,1800,Aircel,Not Bid,0,-,-,-
2,Andhra Pradesh,1800,Bharti,Not Bid,0,32.6,38,1
2,Andhra Pradesh,1800,Idea,Not Bid,0,32.6,25,3
2,Andhra Pradesh,1800,RCL,Not Bid,0,-,-,-
2,Andhra Pradesh,1800,Jio,Not Bid,0,32.6,25,2
2,Andhra Pradesh,1800,Tata Tele,Not Bid,0,-,-,-
2,Andhra Pradesh,1800,Telewings,Not Bid,0,32.6,4,4
2,Andhra Pradesh,1800,Vodafone,Not Bid,0,-,-,-
2,Assam,1800,Aircel,Not Bid,0,-,-,-
2,Assam,1800,Bharti,Not Bid,0,1.4,29,1
2,Assam,1800,Idea,Not Bid,0,-,-,-
2,Assam,1800,RCL,Not Bid,0,-,-,-
2,Assam,1800,Jio,Not Bid,0,1.4,25,2
2,Assam,1800,Tata Tele,Not Bid,0,-,-,-
2,Assam,1800,Telewings,Not Bid,0,-,-,-
2,Assam,1800,Vodafone,Not Bid,0,-,-,-
2,Bihar,1800,Aircel,Not Bid,0,-,-,-
2,Bihar,1800,Bharti,Not Bid,0,7.4,0,-
2,Bihar,1800,Idea,Not Bid,0,-,-,-
2,Bihar,1800,RCL,Not Bid,0,-,-,-
2,Bihar,1800,Jio,Not Bid,0,-,-,-
2,Bihar,1800,Tata Tele,Not Bid,0,-,-,-
2,Bihar,1800,Telewings,Bid,11,7.62,11,1
2,Bihar,1800,Vodafone,Not Bid,0,-,-,-
2,Delhi,1800,Aircel,Not Bid,0,-,-,-
2,Delhi,1800,Bharti,Not Bid,0,43.8,25,2
2,Delhi,1800,Idea,Not Bid,0,43.8,3,4
2,Delhi,1800,RCL,Not Bid,0,-,-,-
2,Delhi,1800,Jio,Not Bid,0,43.8,25,3
2,Delhi,1800,Tata Tele,Not Bid,0,-,-,-
2,Delhi,1800,Telewings,Not Bid,0,-,-,-
2,Delhi,1800,Vodafone,Not Bid,0,43.8,35,1
2,Gujarat,1800,Aircel,Not Bid,0,-,-,-
2,Gujarat,1800,Bharti,Bid,3,29.45,11,4
2,Gujarat,1800,Idea,Bid,3,29.45,3,5
2,Gujarat,1800,RCL,Not Bid,0,-,-,-
2,Gujarat,1800,Jio,Bid,25,29.45,25,1
2,Gujarat,1800,Tata Tele,Not Bid,0,-,-,-
2,Gujarat,1800,Telewings,Bid,8,29.45,8,3
2,Gujarat,1800,Vodafone,Bid,13,29.45,13,2
2,Haryana,1800,Aircel,Not Bid,0,-,-,-
2,Haryana,1800,Bharti,Not Bid,0,-,-,-
2,Haryana,1800,Idea,Not Bid,0,5.4,25,1
2,Haryana,1800,RCL,Not Bid,0,-,-,-
2,Haryana,1800,Jio,Not Bid,0,-,-,-
2,Haryana,1800,Tata Tele,Not Bid,0,-,-,-
2,Haryana,1800,Telewings,Not Bid,0,-,-,-
2,Haryana,1800,Vodafone,Not Bid,0,-,-,-
2,Himachal Pradesh,1800,Aircel,Not Bid,0,-,-,-
2,Himachal Pradesh,1800,Bharti,Not Bid,0,1.2,51,1
2,Himachal Pradesh,1800,Idea,Not Bid,0,-,-,-
2,Himachal Pradesh,1800,RCL,Not Bid,0,-,-,-
2,Himachal Pradesh,1800,Jio,Not Bid,0,-,-,-
2,Himachal Pradesh,1800,Tata Tele,Not Bid,0,-,-,-
2,Himachal Pradesh,1800,Telewings,Not Bid,0,-,-,-
2,Himachal Pradesh,1800,Vodafone,Not Bid,0,-,-,-
2,Jammu & Kashmir,1800,Aircel,Bid,9,1.02,9,1
2,Jammu & Kashmir,1800,Bharti,Not Bid,0,1,13,2
2,Jammu & Kashmir,1800,Idea,Not Bid,0,-,-,-
2,Jammu & Kashmir,1800,RCL,Not Bid,0,-,-,-
2,Jammu & Kashmir,1800,Jio,Not Bid,0,-,-,-
2,Jammu & Kashmir,1800,Tata Tele,Not Bid,0,-,-,-
2,Jammu & Kashmir,1800,Telewings,Not Bid,0,-,-,-
2,Jammu & Kashmir,1800,Vodafone,Not Bid,0,-,-,-
2,Karnataka,1800,Aircel,Not Bid,0,-,-,-
2,Karnataka,1800,Bharti,Not Bid,0,31,38,1
2,Karnataka,1800,Idea,Not Bid,0,31,25,4
2,Karnataka,1800,RCL,Not Bid,0,-,-,-
2,Karnataka,1800,Jio,Not Bid,0,31,25,3
2,Karnataka,1800,Tata Tele,Not Bid,0,-,-,-
2,Karnataka,1800,Telewings,Not Bid,0,-,-,-
2,Karnataka,1800,Vodafone,Not Bid,0,31,25,2
2,Kerala,1800,Aircel,Not Bid,0,-,-,-
2,Kerala,1800,Bharti,Not Bid,0,10.4,25,2
2,Kerala,1800,Idea,Not Bid,0,10.4,25,4
2,Kerala,1800,RCL,Not Bid,0,-,-,-
2,Kerala,1800,Jio,Not Bid,0,10.4,25,3
2,Kerala,1800,Tata Tele,Not Bid,0,-,-,-
2,Kerala,1800,Telewings,Not Bid,0,-,-,-
2,Kerala,1800,Vodafone,Not Bid,0,10.4,28,1
2,Kolkata,1800,Aircel,Not Bid,0,-,-,-
2,Kolkata,1800,Bharti,Not Bid,0,14.6,25,2
2,Kolkata,1800,Idea,Not Bid,0,-,-,-
2,Kolkata,1800,RCL,Not Bid,0,-,-,-
2,Kolkata,1800,Jio,Not Bid,0,14.6,25,3
2,Kolkata,1800,Tata Tele,Not Bid,0,-,-,-
2,Kolkata,1800,Telewings,Not Bid,0,-,-,-
2,Kolkata,1800,Vodafone,Not Bid,0,14.6,35,1
2,Madhya Pradesh,1800,Aircel,Not Bid,0,-,-,-
2,Madhya Pradesh,1800,Bharti,Not Bid,0,8.6,3,3
2,Madhya Pradesh,1800,Idea,Not Bid,0,8.6,25,2
2,Madhya Pradesh,1800,RCL,Not Bid,0,-,-,-
2,Madhya Pradesh,1800,Jio,Not Bid,0,8.6,25,1
2,Madhya Pradesh,1800,Tata Tele,Not Bid,0,-,-,-
2,Madhya Pradesh,1800,Telewings,Not Bid,0,-,-,-
2,Madhya Pradesh,1800,Vodafone,Not Bid,0,-,-,-
2,Maharashtra,1800,Aircel,Not Bid,0,-,-,-
2,Maharashtra,1800,Bharti,Not Bid,0,34.6,25,1
2,Maharashtra,1800,Idea,Not Bid,0,34.6,3,5
2,Maharashtra,1800,RCL,Not Bid,0,-,-,-
2,Maharashtra,1800,Jio,Not Bid,0,34.6,25,2
2,Maharashtra,1800,Tata Tele,Not Bid,0,-,-,-
2,Maharashtra,1800,Telewings,Not Bid,0,34.6,9,3
2,Maharashtra,1800,Vodafone,Not Bid,0,34.6,3,4
2,Mumbai,1800,Aircel,Not Bid,0,-,-,-
2,Mumbai,1800,Bharti,Not Bid,0,41.4,4,4
2,Mumbai,1800,Idea,Not Bid,0,41.4,5,3
2,Mumbai,1800,RCL,Not Bid,0,41.4,3,5
2,Mumbai,1800,Jio,Not Bid,0,41.4,25,2
2,Mumbai,1800,Tata Tele,Not Bid,0,-,-,-
2,Mumbai,1800,Telewings,Not Bid,0,-,-,-
2,Mumbai,1800,Vodafone,Not Bid,0,41.4,50,1
2,North East,1800,Aircel,Not Bid,0,1.4,9,3
2,North East,1800,Bharti,Not Bid,0,1.4,35,1
2,North East,1800,Idea,Not Bid,0,1.4,3,4
2,North East,1800,RCL,Not Bid,0,-,-,-
2,North East,1800,Jio,Not Bid,0,1.4,25,2
2,North East,1800,Tata Tele,Not Bid,0,-,-,-
2,North East,1800,Telewings,Not Bid,0,-,-,-
2,North East,1800,Vodafone,Not Bid,0,-,-,-
2,Orissa,1800,Aircel,Not Bid,0,-,-,-
2,Orissa,1800,Bharti,Not Bid,0,3.2,25,1
2,Orissa,1800,Idea,Not Bid,0,-,-,-
2,Orissa,1800,RCL,Not Bid,0,-,-,-
2,Orissa,1800,Jio,Not Bid,0,3.2,25,2
2,Orissa,1800,Tata Tele,Not Bid,0,-,-,-
2,Orissa,1800,Telewings,Not Bid,0,-,-,-
2,Orissa,1800,Vodafone,Not Bid,0,-,-,-
2,Punjab,1800,Aircel,Not Bid,0,-,-,-
2,Punjab,1800,Bharti,Not Bid,0,10.8,36,1
2,Punjab,1800,Idea,Not Bid,0,10.8,25,2
2,Punjab,1800,RCL,Not Bid,0,-,-,-
2,Punjab,1800,Jio,Not Bid,0,-,-,-
2,Punjab,1800,Tata Tele,Not Bid,0,-,-,-
2,Punjab,1800,Telewings,Not Bid,0,-,-,-
2,Punjab,1800,Vodafone,Not Bid,0,10.8,3,3
2,Rajasthan,1800,Aircel,Not Bid,0,5.2,8,2
2,Rajasthan,1800,Bharti,Not Bid,0,5.2,40,1
2,Rajasthan,1800,Idea,Not Bid,0,-,-,-
2,Rajasthan,1800,RCL,Not Bid,0,-,-,-
2,Rajasthan,1800,Jio,Not Bid,0,-,-,-
2,Rajasthan,1800,Tata Tele,Not Bid,0,-,-,-
2,Rajasthan,1800,Telewings,Not Bid,0,-,-,-
2,Rajasthan,1800,Vodafone,Not Bid,0,5.2,4,3
2,Tamil Nadu,1800,Aircel,Not Bid,0,-,-,-
2,Tamil Nadu,1800,Bharti,Not Bid,0,41.6,25,1
2,Tamil Nadu,1800,Idea,Not Bid,0,-,-,-
2,Tamil Nadu,1800,RCL,Not Bid,0,-,-,-
2,Tamil Nadu,1800,Jio,Not Bid,0,41.6,25,2
2,Tamil Nadu,1800,Tata Tele,Not Bid,0,-,-,-
2,Tamil Nadu,1800,Telewings,Not Bid,0,-,-,-
2,Tamil Nadu,1800,Vodafone,Not Bid,0,-,-,-
2,Uttar Pradesh (East),1800,Aircel,Bid,9,12.56,9,2
2,Uttar Pradesh (East),1800,Bharti,Not Bid,0,12.2,22,3
2,Uttar Pradesh (East),1800,Idea,Not Bid,0,-,-,-
2,Uttar Pradesh (East),1800,RCL,Not Bid,0,-,-,-
2,Uttar Pradesh (East),1800,Jio,Not Bid,0,-,-,-
2,Uttar Pradesh (East),1800,Tata Tele,Not Bid,0,-,-,-
2,Uttar Pradesh (East),1800,Telewings,Bid,9,12.56,9,1
2,Uttar Pradesh (East),1800,Vodafone,Not Bid,0,12.2,-,-
2,Uttar Pradesh (West),1800,Aircel,Not Bid,0,-,-,-
2,Uttar Pradesh (West),1800,Bharti,Not Bid,0,12.4,-,-
2,Uttar Pradesh (West),1800,Idea,Bid,3,12.77,0,-
2,Uttar Pradesh (West),1800,RCL,Not Bid,0,-,-,-
2,Uttar Pradesh (West),1800,Jio,Not Bid,0,-,-,-
2,Uttar Pradesh (West),1800,Tata Tele,Not Bid,0,-,-,-
2,Uttar Pradesh (West),1800,Telewings,Bid,10,12.77,10,1
2,Uttar Pradesh (West),1800,Vodafone,Not Bid,0,-,-,-
2,West Bengal,1800,Aircel,Bid,9,4.24,9,2
2,West Bengal,1800,Bharti,Bid,3,4.24,22,3
2,West Bengal,1800,Idea,Not Bid,0,-,-,-
2,West Bengal,1800,RCL,Not Bid,0,-,-,-
2,West Bengal,1800,Jio,Bid,25,4.24,25,1
2,West Bengal,1800,Tata Tele,Not Bid,0,-,-,-
2,West Bengal,1800,Telewings,Not Bid,0,-,-,-
2,West Bengal,1800,Vodafone,Not Bid,0,-,-,-
2,Delhi,900,Aircel,Not Bid,0,-,-,-
2,Delhi,900,Bharti,Bid,5,385.2,5,1
2,Delhi,900,Idea,Bid,5,385.2,6,3
2,Delhi,900,RCL,Not Bid,0,-,-,-
2,Delhi,900,Jio,Bid,5,385.2,5,2
2,Delhi,900,Tata Tele,Not Bid,0,-,-,-
2,Delhi,900,Telewings,Not Bid,0,-,-,-
2,Delhi,900,Vodafone,Not Bid,0,360,-,-
2,Kolkata,900,Aircel,Not Bid,0,-,-,-
2,Kolkata,900,Bharti,Bid,5,137.5,5,1
2,Kolkata,900,Idea,Not Bid,0,125,0,-
2,Kolkata,900,RCL,Not Bid,0,-,-,-
2,Kolkata,900,Jio,Not Bid,0,-,-,-
2,Kolkata,900,Tata Tele,Bid,5,137.5,5,2
2,Kolkata,900,Telewings,Not Bid,0,-,-,-
2,Kolkata,900,Vodafone,Not Bid,0,125,0,-
2,Mumbai,900,Aircel,Not Bid,0,-,-,-
2,Mumbai,900,Bharti,Bid,5,360.8,5,1
2,Mumbai,900,Idea,Bid,5,360.8,5,3
2,Mumbai,900,RCL,Not Bid,0,-,-,-
2,Mumbai,900,Jio,Bid,5,360.8,5,2
2,Mumbai,900,Tata Tele,Bid,5,360.8,0,-
2,Mumbai,900,Telewings,Not Bid,0,-,-,-
2,Mumbai,900,Vodafone,Not Bid,0,328,-,-
3,Andhra Pradesh,1800,Aircel,Not Bid,0,-,-,-
3,Andhra Pradesh,1800,Bharti,Not Bid,0,32.6,38,1
3,Andhra Pradesh,1800,Idea,Not Bid,0,32.6,25,3
3,Andhra Pradesh,1800,RCL,Not Bid,0,-,-,-
3,Andhra Pradesh,1800,Jio,Not Bid,0,32.6,25,2
3,Andhra Pradesh,1800,Tata Tele,Not Bid,0,-,-,-
3,Andhra Pradesh,1800,Telewings,Not Bid,0,32.6,4,4
3,Andhra Pradesh,1800,Vodafone,Not Bid,0,-,-,-
3,Assam,1800,Aircel,Not Bid,0,-,-,-
3,Assam,1800,Bharti,Not Bid,0,1.4,29,1
3,Assam,1800,Idea,Not Bid,0,-,-,-
3,Assam,1800,RCL,Not Bid,0,-,-,-
3,Assam,1800,Jio,Not Bid,0,1.4,25,2
3,Assam,1800,Tata Tele,Not Bid,0,-,-,-
3,Assam,1800,Telewings,Not Bid,0,-,-,-
3,Assam,1800,Vodafone,Not Bid,0,-,-,-
3,Bihar,1800,Aircel,Not Bid,0,-,-,-
3,Bihar,1800,Bharti,Bid,12,7.62,0,-
3,Bihar,1800,Idea,Not Bid,0,-,-,-
3,Bihar,1800,RCL,Not Bid,0,-,-,-
3,Bihar,1800,Jio,Not Bid,0,-,-,-
3,Bihar,1800,Tata Tele,Not Bid,0,-,-,-
3,Bihar,1800,Telewings,Not Bid,0,7.62,11,1
3,Bihar,1800,Vodafone,Not Bid,0,-,-,-
3,Delhi,1800,Aircel,Not Bid,0,-,-,-
3,Delhi,1800,Bharti,Not Bid,0,43.8,25,2
3,Delhi,1800,Idea,Not Bid,0,43.8,3,4
3,Delhi,1800,RCL,Not Bid,0,-,-,-
3,Delhi,1800,Jio,Not Bid,0,43.8,25,3
3,Delhi,1800,Tata Tele,Not Bid,0,-,-,-
3,Delhi,1800,Telewings,Not Bid,0,-,-,-
3,Delhi,1800,Vodafone,Not Bid,0,43.8,35,1
3,Gujarat,1800,Aircel,Not Bid,0,-,-,-
3,Gujarat,1800,Bharti,Not Bid,0,29.45,11,4
3,Gujarat,1800,Idea,Not Bid,0,29.45,3,5
3,Gujarat,1800,RCL,Not Bid,0,-,-,-
3,Gujarat,1800,Jio,Not Bid,0,29.45,25,1
3,Gujarat,1800,Tata Tele,Not Bid,0,-,-,-
3,Gujarat,1800,Telewings,Not Bid,0,29.45,8,3
3,Gujarat,1800,Vodafone,Not Bid,0,29.45,13,2
3,Haryana,1800,Aircel,Not Bid,0,-,-,-
3,Haryana,1800,Bharti,Not Bid,0,-,-,-
3,Haryana,1800,Idea,Not Bid,0,5.4,25,1
3,Haryana,1800,RCL,Not Bid,0,-,-,-
3,Haryana,1800,Jio,Not Bid,0,-,-,-
3,Haryana,1800,Tata Tele,Not Bid,0,-,-,-
3,Haryana,1800,Telewings,Not Bid,0,-,-,-
3,Haryana,1800,Vodafone,Not Bid,0,-,-,-
