Clock_Round,Service_Area,Band,Bidder,bid_decision,No. of Block(s) Selected,prov_win_bid,Provisionally Allocated Block(s) at end of Clock Round,prov_rank
1,Andhra Pradesh,1800,Aircel,Not Bid,0,-,-,-
1,Andhra Pradesh,1800,Bharti,Bid,38,32.6,38,1
1,Andhra Pradesh,1800,Idea,Bid,25,32.6,25,3
1,Andhra Pradesh,1800,RCL,Not Bid,0,-,-,-
1,Andhra Pradesh,1800,Jio,Bid,25,32.6,25,2
1,Andhra Pradesh,1800,Tata Tele,Not Bid,0,-,-,-
1,Andhra Pradesh,1800,Telewings,Bid,4,32.6,4,4
1,Andhra Pradesh,1800,Vodafone,Not Bid,0,-,-,-
1,Assam,1800,Aircel,Not Bid,0,-,-,-
1,Assam,1800,Bharti,Bid,29,1.4,29,1
1,Assam,1800,Idea,Not Bid,0,-,-,-
1,Assam,1800,RCL,Not Bid,0,-,-,-
1,Assam,1800,Jio,Bid,25,1.4,25,2
1,Assam,1800,Tata Tele,Not Bid,0,-,-,-
1,Assam,1800,Telewings,Not Bid,0,-,-,-
1,Assam,1800,Vodafone,Not Bid,0,-,-,-
1,Bihar,1800,Aircel,Not Bid,0,-,-,-
1,Bihar,1800,Bharti,Bid,12,7.4,12,1
1,Bihar,1800,Idea,Not Bid,0,-,-,-
1,Bihar,1800,RCL,Not Bid,0,-,-,-
1,Bihar,1800,Jio,Not Bid,0,-,-,-
1,Bihar,1800,Tata Tele,Not Bid,0,-,-,-
1,Bihar,1800,Telewings,Bid,11,7.4,0,-
1,Bihar,1800,Vodafone,Not Bid,0,-,-,-
1,Delhi,1800,Aircel,Not Bid,0,-,-,-
1,Delhi,1800,Bharti,Bid,25,43.8,25,2
1,Delhi,1800,Idea,Bid,3,43.8,3,4
1,Delhi,1800,RCL,Not Bid,0,-,-,-
1,Delhi,1800,Jio,Bid,25,43.8,25,3
1,Delhi,1800,Tata Tele,Not Bid,0,-,-,-
1,Delhi,1800,Telewings,Not Bid,0,-,-,-
1,Delhi,1800,Vodafone,Bid,35,43.8,35,1
1,Gujarat,1800,Aircel,Not Bid,0,-,-,-
1,Gujarat,1800,Bharti,Bid,25,28.6,25,1
1,Gujarat,1800,Idea,Bid,3,28.6,0,-
1,Gujarat,1800,RCL,Not Bid,0,-,-,-
1,Gujarat,1800,Jio,Bid,25,28.6,25,2
1,Gujarat,1800,Tata Tele,Not Bid,0,-,-,-
1,Gujarat,1800,Telewings,Bid,8,28.6,0,-
1,Gujarat,1800,Vodafone,Bid,13,28.6,10,3
1,Haryana,1800,Aircel,Not Bid,0,-,-,-
1,Haryana,1800,Bharti,Not Bid,0,-,-,-
1,Haryana,1800,Idea,Bid,25,5.4,25,1
1,Haryana,1800,RCL,Not Bid,0,-,-,-
1,Haryana,1800,Jio,Not Bid,0,-,-,-
