,LSA,bw-700,years_left-700,bw-1800,bw-800,years_left-1800,years_left-800,bw-900,years_left-900,bw-2100,years_left-2100,bw-2300,years_left-2300,bw-2500,years_left-2500,bw-3300,years_left-3300,bw-26,years_left-26,2300 MHz band (unpaired),700 MHz band (paired),1800 MHz band (paired),2500 MHz band (unpaired),900 MHz band (paired),3300 MHz band (unpaired),2100 MHz band (paired),800 MHz band (paired),26 GHz band (unpaired)
78,Tamil Nadu,0.0,0.0,6.2,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05,12.65,7.05,2.9,11.1,1.176,17.2,11.25,0.026000000000000002
79,Tamil Nadu,0.0,0.0,0.6,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05,12.65,7.05,2.9,11.1,1.176,17.2,11.25,0.026000000000000002
80,Tamil Nadu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05,12.65,7.05,2.9,11.1,1.176,17.2,11.25,0.026000000000000002
81,Tamil Nadu,0.0,0.0,3.2,9.84,17.0,17.0,0.0,0.0,0.0,0.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05,12.65,7.05,2.9,11.1,1.176,17.2,11.25,0.026000000000000002
82,Tamil Nadu,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,18.0,1000.0,18.0,4.05,12.65,7.05,2.9,11.1,1.176,17.2,11.25,0.026000000000000002
83,Uttar Pradesh (East),0.0,0.0,3.0,3.69,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,8.55,9.2,0.45,9.3,0.784,5.5,8.0,0.017
84,Uttar Pradesh (East),0.0,0.0,3.4,1.23,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,8.55,9.2,0.45,9.3,0.784,5.5,8.0,0.017
85,Uttar Pradesh (East),0.0,0.0,3.6,4.92,17.0,17.0,0.0,0.0,0.0,0.0,20.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,8.55,9.2,0.45,9.3,0.784,5.5,8.0,0.017
86,Uttar Pradesh (East),10.0,18.0,10.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,18.0,1000.0,18.0,0.45,8.55,9.2,0.45,9.3,0.784,5.5,8.0,0.017
87,Uttar Pradesh (West),0.0,0.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,7.7,4.35,0.6,7.6,0.728,3.6,6.65,0.016
88,Uttar Pradesh (West),0.0,0.0,5.0,4.92,17.0,17.0,0.0,0.0,0.0,0.0,20.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,7.7,4.35,0.6,7.6,0.728,3.6,6.65,0.016
89,Uttar Pradesh (West),10.0,18.0,0.0,5.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,18.0,1000.0,18.0,0.6,7.7,4.35,0.6,7.6,0.728,3.6,6.65,0.016
90,West Bengal,0.0,0.0,5.6,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,5.1,2.9435,0.25,4.95,0.504,1.85,4.45,0.010499999999999999
91,West Bengal,0.0,0.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,5.1,2.9435,0.25,4.95,0.504,1.85,4.45,0.010499999999999999
92,West Bengal,0.0,0.0,0.0,9.84,0.0,17.0,0.0,0.0,0.0,0.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,5.1,2.9435,0.25,4.95,0.504,1.85,4.45,0.010499999999999999
93,West Bengal,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,18.0,1000.0,18.0,0.3,5.1,2.9435,0.25,4.95,0.504,1.85,4.45,0.010499999999999999
94,West Bengal,0.0,0.0,9.4,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,5.1,2.9435,0.25,4.95,0.504,1.85,4.45,0.010499999999999999
