Clock_Round,Service_Area,Band,Bidder,bid_decision,No of block( s) selecte d,prov_win_bid,Provisi onally Alloca ted Block( s) at end of clock round,prov_rank
1,Jammu & Kashmir,900,Adani,No,0,0,0,0
1,Jammu & Kashmir,900,Bharti,Bid,25,3.2,25,1
1,Jammu & Kashmir,900,Jio,No,0,0,0,0
1,Jammu & Kashmir,900,Vodafone,No,0,0,0,0
1,Jammu & Kashmir,1800,Adani,No,0,0,0,0
1,Jammu & Kashmir,1800,Bharti,No,0,0,0,0
1,Jammu & Kashmir,1800,Jio,No,0,0,0,0
1,Jammu & Kashmir,1800,Vodafone,No,0,0,0,0
1,Jammu & Kashmir,2100,Adani,No,0,0,0,0
1,Jammu & Kashmir,2100,Bharti,No,0,0,0,0
1,Jammu & Kashmir,2100,Jio,No,0,0,0,0
1,Jammu & Kashmir,2100,Vodafone,No,0,0,0,0
1,Jammu & Kashmir,2500,Adani,No,0,0,0,0
1,Jammu & Kashmir,2500,Bharti,No,0,0,0,0
1,Jammu & Kashmir,2500,Jio,No,0,0,0,0
1,Jammu & Kashmir,2500,Vodafone,No,0,0,0,0
1,Jammu & Kashmir,3300,Adani,No,0,0,0,0
1,Jammu & Kashmir,3300,Bharti,Bid,10,10,10,2
1,Jammu & Kashmir,3300,Jio,Bid,10,10,10,1
1,Jammu & Kashmir,3300,Vodafone,No,0,0,0,0
1,Karnataka,26,Adani,Bid,1,20,1,3
1,Karnataka,26,Bharti,Bid,16,20,16,2
1,Karnataka,26,Jio,Bid,20,20,20,1
1,Karnataka,26,Vodafone,No,0,0,0,0
1,Karnataka,600,Adani,No,0,0,0,0
1,Karnataka,600,Bharti,No,0,0,0,0
1,Karnataka,600,Jio,No,0,0,0,0
1,Karnataka,600,Vodafone,No,0,0,0,0
1,Karnataka,700,Adani,No,0,0,0,0
1,Karnataka,700,Bharti,No,0,0,0,0
1,Karnataka,700,Jio,Bid,2,1100,2,1
1,Karnataka,700,Vodafone,No,0,0,0,0
1,Karnataka,800,Adani,No,0,0,0,0
1,Karnataka,800,Bharti,No,0,0,0,0
1,Karnataka,800,Jio,No,0,0,0,0
1,Karnataka,800,Vodafone,No,0,0,0,0
1,Karnataka,900,Adani,No,0,0,0,0
1,Karnataka,900,Bharti,No,0,0,0,0
1,Karnataka,900,Jio,No,0,0,0,0
1,Karnataka,900,Vodafone,No,0,0,0,0
1,Karnataka,1800,Adani,No,0,0,0,0
1,Karnataka,1800,Bharti,No,0,0,0,0
1,Karnataka,1800,Jio,No,0,0,0,0
1,Karnataka,1800,Vodafone,No,0,0,0,0
1,Karnataka,2100,Adani,No,0,0,0,0
1,Karnataka,2100,Bharti,No,0,0,0,0
1,Karnataka,2100,Jio,No,0,0,0,0
1,Karnataka,2100,Vodafone,No,0,0,0,0
1,Karnataka,2300,Adani,No,0,0,0,0
1,Karnataka,2300,Bharti,No,0,0,0,0
1,Karnataka,2300,Jio,No,0,0,0,0
1,Karnataka,2300,Vodafone,No,0,0,0,0
1,Karnataka,2500,Adani,No,0,0,0,0
1,Karnataka,2500,Bharti,No,0,0,0,0
1,Karnataka,2500,Jio,No,0,0,0,0
1,Karnataka,2500,Vodafone,No,0,0,0,0
1,Karnataka,3300,Adani,No,0,0,0,0
1,Karnataka,3300,Bharti,Bid,10,180,10,2
1,Karnataka,3300,Jio,Bid,10,180,10,1
1,Karnataka,3300,Vodafone,Bid,5,180,5,3
1,Kerala,26,Adani,No,0,0,0,0
1,Kerala,26,Bharti,Bid,16,9.5,16,2
1,Kerala,26,Jio,Bid,20,9.5,20,1
1,Kerala,26,Vodafone,No,0,0,0,0
1,Kerala,600,Adani,No,0,0,0,0
1,Kerala,600,Bharti,No,0,0,0,0
1,Kerala,600,Jio,No,0,0,0,0
1,Kerala,600,Vodafone,No,0,0,0,0
1,Andhra Pradesh,1800,Bharti,No,0,0,0,0
1,Andhra Pradesh,1800,Jio,No,0,0,0,0
1,Andhra Pradesh,1800,Vodafone,No,0,0,0,0
1,Andhra Pradesh,2100,Adani,No,0,0,0,0
1,Andhra Pradesh,2100,Bharti,No,0,0,0,0
1,Andhra Pradesh,2100,Jio,No,0,0,0,0
1,Andhra Pradesh,2100,Vodafone,No,0,0,0,0
1,Andhra Pradesh,2300,Adani,No,0,0,0,0
1,Andhra Pradesh,2300,Bharti,No,0,0,0,0
1,Andhra Pradesh,2300,Jio,No,0,0,0,0
1,Andhra Pradesh,2300,Vodafone,No,0,0,0,0
1,Kerala,700,Adani,No,0,0,0,0
1,Kerala,700,Bharti,No,0,0,0,0
1,Kerala,700,Jio,Bid,2,550,2,1
1,Kerala,700,Vodafone,No,0,0,0,0
1,Kerala,800,Adani,No,0,0,0,0
1,Kerala,800,Bharti,No,0,0,0,0
1,Kerala,800,Jio,No,0,0,0,0
1,Kerala,800,Vodafone,No,0,0,0,0
1,Kerala,900,Adani,No,0,0,0,0
1,Kerala,900,Bharti,No,0,0,0,0
1,Kerala,900,Jio,No,0,0,0,0
1,Kerala,900,Vodafone,No,0,0,0,0
1,Kerala,1800,Adani,No,0,0,0,0
1,Kerala,1800,Bharti,No,0,0,0,0
1,Kerala,1800,Jio,No,0,0,0,0
1,Kerala,1800,Vodafone,No,0,0,0,0
1,Kerala,2100,Adani,No,0,0,0,0
1,Kerala,2100,Bharti,Bid,1,240,1,1
1,Kerala,2100,Jio,No,0,0,0,0
1,Kerala,2100,Vodafone,No,0,0,0,0
1,Kerala,3300,Adani,No,0,0,0,0
1,Kerala,3300,Bharti,Bid,10,90,10,2
1,Kerala,3300,Jio,Bid,10,90,10,1
1,Kerala,3300,Vodafone,Bid,5,90,5,3
1,Kolkata,26,Adani,No,0,0,0,0
1,Kolkata,26,Bharti,Bid,16,16,16,2
1,Kolkata,26,Jio,Bid,20,16,20,1
1,Kolkata,26,Vodafone,No,0,0,0,0
1,Kolkata,600,Adani,No,0,0,0,0
1,Kolkata,600,Bharti,No,0,0,0,0
1,Kolkata,600,Jio,No,0,0,0,0
1,Kolkata,600,Vodafone,No,0,0,0,0
1,Kolkata,700,Adani,No,0,0,0,0
1,Kolkata,700,Bharti,No,0,0,0,0
1,Kolkata,700,Jio,Bid,2,865,2,1
1,Kolkata,700,Vodafone,No,0,0,0,0
1,Kolkata,800,Adani,No,0,0,0,0
1,Kolkata,800,Bharti,No,0,0,0,0
1,Kolkata,800,Jio,No,0,0,0,0
1,Kolkata,800,Vodafone,No,0,0,0,0
1,Kolkata,900,Adani,No,0,0,0,0
1,Kolkata,900,Bharti,No,0,0,0,0
1,Kolkata,900,Jio,No,0,0,0,0
1,Kolkata,900,Vodafone,No,0,0,0,0
1,Kolkata,1800,Adani,No,0,0,0,0
1,Kolkata,1800,Bharti,Bid,25,19.4,25,1
1,Kolkata,1800,Jio,No,0,0,0,0
1,Kolkata,1800,Vodafone,No,0,0,0,0
1,Kolkata,2100,Adani,No,0,0,0,0
1,Kolkata,2100,Bharti,No,0,0,0,0
1,Kolkata,2100,Jio,No,0,0,0,0
1,Kolkata,2100,Vodafone,No,0,0,0,0
1,Kolkata,2300,Adani,No,0,0,0,0
1,Kolkata,2300,Bharti,No,0,0,0,0
1,Kolkata,2300,Jio,No,0,0,0,0
1,Kolkata,2300,Vodafone,No,0,0,0,0
1,Kolkata,2500,Adani,No,0,0,0,0
1,Kolkata,2500,Bharti,No,0,0,0,0
1,Kolkata,2500,Jio,No,0,0,0,0
1,Kolkata,2500,Vodafone,No,0,0,0,0
1,Kolkata,3300,Adani,No,0,0,0,0
1,Kolkata,3300,Bharti,Bid,10,150,10,2
1,Kolkata,3300,Jio,Bid,10,150,10,1
1,Kolkata,3300,Vodafone,Bid,5,150,5,3
1,Madhya Pradesh,26,Adani,No,0,0,0,0
1,Madhya Pradesh,26,Bharti,Bid,16,14.5,16,2
1,Madhya Pradesh,26,Jio,Bid,20,14.5,20,1
1,Madhya Pradesh,26,Vodafone,No,0,0,0,0
1,Madhya Pradesh,600,Adani,No,0,0,0,0
1,Madhya Pradesh,600,Bharti,No,0,0,0,0
1,Madhya Pradesh,600,Jio,No,0,0,0,0
1,Madhya Pradesh,600,Vodafone,No,0,0,0,0
1,Madhya Pradesh,700,Adani,No,0,0,0,0
1,Madhya Pradesh,700,Bharti,No,0,0,0,0
1,Madhya Pradesh,700,Jio,Bid,2,780,2,1
1,Madhya Pradesh,700,Vodafone,No,0,0,0,0
1,Madhya Pradesh,800,Adani,No,0,0,0,0
1,Madhya Pradesh,800,Bharti,No,0,0,0,0
1,Madhya Pradesh,800,Jio,No,0,0,0,0
1,Madhya Pradesh,800,Vodafone,No,0,0,0,0
1,Madhya Pradesh,900,Adani,No,0,0,0,0
1,Madhya Pradesh,900,Bharti,No,0,0,0,0
1,Madhya Pradesh,900,Jio,No,0,0,0,0
1,Madhya Pradesh,900,Vodafone,No,0,0,0,0
1,Madhya Pradesh,1800,Adani,No,0,0,0,0
1,Madhya Pradesh,1800,Bharti,No,0,0,0,0
1,Madhya Pradesh,1800,Jio,Bid,50,17.6,50,1
1,Madhya Pradesh,1800,Vodafone,No,0,0,0,0
1,Madhya Pradesh,2100,Adani,No,0,0,0,0
1,Madhya Pradesh,2100,Bharti,No,0,0,0,0
1,Madhya Pradesh,2100,Jio,No,0,0,0,0
1,Madhya Pradesh,2100,Vodafone,No,0,0,0,0
1,Madhya Pradesh,3300,Adani,No,0,0,0,0
1,Madhya Pradesh,3300,Bharti,Bid,10,130,10,2
1,Madhya Pradesh,3300,Jio,Bid,10,130,10,1
1,Madhya Pradesh,3300,Vodafone,Bid,5,130,5,3
1,Maharashtra,26,Adani,No,0,0,0,0
1,Maharashtra,26,Bharti,Bid,16,31.5,16,2
1,Maharashtra,26,Jio,Bid,20,31.5,20,1
1,Maharashtra,26,Vodafone,No,0,0,0,0
1,Maharashtra,600,Adani,No,0,0,0,0
1,Maharashtra,600,Bharti,No,0,0,0,0
1,Maharashtra,600,Jio,No,0,0,0,0
1,Maharashtra,600,Vodafone,No,0,0,0,0
1,Maharashtra,700,Adani,No,0,0,0,0
1,Maharashtra,700,Bharti,No,0,0,0,0
1,Maharashtra,700,Jio,Bid,2,1795,2,1
1,Maharashtra,700,Vodafone,No,0,0,0,0
1,Maharashtra,800,Adani,No,0,0,0,0
1,Maharashtra,800,Bharti,No,0,0,0,0
1,Maharashtra,800,Jio,No,0,0,0,0
1,Maharashtra,800,Vodafone,No,0,0,0,0
1,Maharashtra,900,Adani,No,0,0,0,0
1,Maharashtra,900,Bharti,No,0,0,0,0
1,Maharashtra,900,Jio,No,0,0,0,0
1,Maharashtra,900,Vodafone,No,0,0,0,0
1,Andhra Pradesh,2500,Adani,No,0,0,0,0
1,Andhra Pradesh,2500,Bharti,No,0,0,0,0
1,Andhra Pradesh,2500,Jio,No,0,0,0,0
1,Andhra Pradesh,2500,Vodafone,Bid,1,510,1,1
1,Andhra Pradesh,3300,Adani,No,0,0,0,0
1,Andhra Pradesh,3300,Bharti,Bid,10,260,10,2
1,Andhra Pradesh,3300,Jio,Bid,10,260,10,1
1,Andhra Pradesh,3300,Vodafone,Bid,5,260,5,3
1,Assam,26,Adani,No,0,0,0,0
1,Assam,26,Bharti,Bid,16,5,16,2
1,Assam,26,Jio,Bid,20,5,20,1
1,Maharashtra,1800,Adani,No,0,0,0,0
1,Maharashtra,1800,Bharti,No,0,0,0,0
1,Maharashtra,1800,Jio,Bid,50,38,50,1
1,Maharashtra,1800,Vodafone,No,0,0,0,0
1,Maharashtra,2100,Adani,No,0,0,0,0
1,Maharashtra,2100,Bharti,No,0,0,0,0
1,Maharashtra,2100,Jio,No,0,0,0,0
1,Maharashtra,2100,Vodafone,No,0,0,0,0
1,Maharashtra,2500,Adani,No,0,0,0,0
1,Maharashtra,2500,Bharti,No,0,0,0,0
1,Maharashtra,2500,Jio,No,0,0,0,0
1,Maharashtra,2500,Vodafone,No,0,0,0,0
1,Maharashtra,3300,Adani,No,0,0,0,0
1,Maharashtra,3300,Bharti,Bid,10,290,10,2
1,Maharashtra,3300,Jio,Bid,10,290,10,1
1,Maharashtra,3300,Vodafone,Bid,5,290,5,3
1,Mumbai,26,Adani,Bid,2,39,2,3
1,Mumbai,26,Bharti,Bid,16,39,16,2
1,Mumbai,26,Jio,Bid,20,39,20,1
1,Mumbai,26,Vodafone,No,0,0,0,0
1,Mumbai,600,Adani,No,0,0,0,0
1,Mumbai,600,Bharti,No,0,0,0,0
1,Mumbai,600,Jio,No,0,0,0,0
1,Mumbai,600,Vodafone,No,0,0,0,0
1,Mumbai,700,Adani,No,0,0,0,0
1,Mumbai,700,Bharti,No,0,0,0,0
1,Mumbai,700,Jio,Bid,2,2350,2,1
1,Mumbai,700,Vodafone,No,0,0,0,0
1,Mumbai,800,Adani,No,0,0,0,0
1,Mumbai,800,Bharti,No,0,0,0,0
1,Mumbai,800,Jio,No,0,0,0,0
1,Mumbai,800,Vodafone,No,0,0,0,0
1,Mumbai,900,Adani,No,0,0,0,0
1,Mumbai,900,Bharti,No,0,0,0,0
1,Mumbai,900,Jio,No,0,0,0,0
1,Mumbai,900,Vodafone,No,0,0,0,0
1,Mumbai,1800,Adani,No,0,0,0,0
1,Mumbai,1800,Bharti,Bid,20,47.2,20,1
1,Mumbai,1800,Jio,No,0,0,0,0
1,Mumbai,1800,Vodafone,No,0,0,0,0
1,Mumbai,2100,Adani,No,0,0,0,0
1,Mumbai,2100,Bharti,No,0,0,0,0
1,Mumbai,2100,Jio,No,0,0,0,0
1,Mumbai,2100,Vodafone,No,0,0,0,0
1,Mumbai,2300,Adani,No,0,0,0,0
1,Mumbai,2300,Bharti,No,0,0,0,0
1,Mumbai,2300,Jio,No,0,0,0,0
1,Mumbai,2300,Vodafone,No,0,0,0,0
1,Mumbai,2500,Adani,No,0,0,0,0
1,Mumbai,2500,Bharti,No,0,0,0,0
1,Mumbai,2500,Jio,No,0,0,0,0
1,Mumbai,2500,Vodafone,No,0,0,0,0
1,Mumbai,3300,Adani,No,0,0,0,0
1,Mumbai,3300,Bharti,Bid,10,350,10,2
1,Mumbai,3300,Jio,Bid,10,350,10,1
1,Mumbai,3300,Vodafone,Bid,5,350,5,3
1,North East,26,Adani,No,0,0,0,0
1,North East,26,Bharti,Bid,16,1.5,16,2
1,North East,26,Jio,Bid,20,1.5,20,1
1,North East,26,Vodafone,No,0,0,0,0
1,North East,600,Adani,No,0,0,0,0
1,North East,600,Bharti,No,0,0,0,0
1,North East,600,Jio,No,0,0,0,0
1,North East,600,Vodafone,No,0,0,0,0
1,North East,700,Adani,No,0,0,0,0
1,North East,700,Bharti,No,0,0,0,0
1,North East,700,Jio,Bid,2,75,2,1
1,North East,700,Vodafone,No,0,0,0,0
1,North East,800,Adani,No,0,0,0,0
1,North East,800,Bharti,No,0,0,0,0
1,North East,800,Jio,Bid,4,16.25,4,1
1,North East,800,Vodafone,No,0,0,0,0
1,North East,900,Adani,No,0,0,0,0
1,North East,900,Bharti,Bid,20,2.8,20,1
1,North East,900,Jio,No,0,0,0,0
1,North East,900,Vodafone,No,0,0,0,0
1,North East,1800,Adani,No,0,0,0,0
1,North East,1800,Bharti,No,0,0,0,0
1,North East,1800,Jio,No,0,0,0,0
1,North East,1800,Vodafone,No,0,0,0,0
1,North East,2100,Adani,No,0,0,0,0
1,North East,2100,Bharti,No,0,0,0,0
1,North East,2100,Jio,No,0,0,0,0
1,North East,2100,Vodafone,No,0,0,0,0
1,North East,3300,Adani,No,0,0,0,0
1,North East,3300,Bharti,Bid,10,10,10,2
1,North East,3300,Jio,Bid,10,10,10,1
1,North East,3300,Vodafone,No,0,0,0,0
1,Odisha,26,Adani,No,0,0,0,0
1,Odisha,26,Bharti,Bid,16,6,16,2
1,Odisha,26,Jio,Bid,20,6,20,1
1,Odisha,26,Vodafone,No,0,0,0,0
1,Odisha,600,Adani,No,0,0,0,0
1,Odisha,600,Bharti,No,0,0,0,0
1,Odisha,600,Jio,No,0,0,0,0
1,Odisha,600,Vodafone,No,0,0,0,0
1,Odisha,700,Adani,No,0,0,0,0
1,Odisha,700,Bharti,No,0,0,0,0
1,Odisha,700,Jio,Bid,2,310,2,1
1,Odisha,700,Vodafone,No,0,0,0,0
1,Odisha,800,Adani,No,0,0,0,0
1,Odisha,800,Bharti,No,0,0,0,0
1,Odisha,800,Jio,No,0,0,0,0
1,Odisha,800,Vodafone,No,0,0,0,0
1,Odisha,900,Adani,No,0,0,0,0
1,Odisha,900,Bharti,No,0,0,0,0
1,Odisha,900,Jio,No,0,0,0,0
1,Odisha,900,Vodafone,No,0,0,0,0
1,Odisha,1800,Adani,No,0,0,0,0
1,Odisha,1800,Bharti,Bid,31,7,26,2
1,Odisha,1800,Jio,Bid,50,7,50,1
1,Odisha,1800,Vodafone,No,0,0,0,0
1,Odisha,2100,Adani,No,0,0,0,0
1,Odisha,2100,Bharti,No,0,0,0,0
1,Odisha,2100,Jio,No,0,0,0,0
1,Odisha,2100,Vodafone,No,0,0,0,0
1,Odisha,3300,Adani,No,0,0,0,0
1,Odisha,3300,Bharti,Bid,10,50,10,2
1,Odisha,3300,Jio,Bid,10,50,10,1
1,Odisha,3300,Vodafone,No,0,0,0,0
1,Assam,26,Vodafone,No,0,0,0,0
1,Assam,600,Adani,No,0,0,0,0
1,Assam,600,Bharti,No,0,0,0,0
1,Assam,600,Jio,No,0,0,0,0
1,Assam,600,Vodafone,No,0,0,0,0
1,Assam,700,Adani,No,0,0,0,0
1,Assam,700,Bharti,No,0,0,0,0
1,Assam,700,Jio,Bid,2,285,2,1
